/σσσ/,,*ExtLapseR,AlignL,*LapseL,*ExtLapse,*Lapse,*ExtLapseL,*LapseR,AlignR,*Nonfinality
σσσ,,*,,*,*,**,*,*,,
Σσσ,1,,,,,*,,*,*,
σΣσ,,,*,,,,,,*,
σσΣ,,,*,*,,*,,,,*
/σσσσ/,,*ExtLapseR,AlignL,*LapseL,*ExtLapse,*Lapse,*ExtLapseL,*LapseR,AlignR,*Nonfinality
σσσσ,,*,,*,**,***,*,*,,
Σσσσ,,*,,,*,**,,*,*,
σΣσσ,1,,*,,,*,,*,*,
σσΣσ,,,*,*,,*,,,*,
σσσΣ,,,*,*,*,**,*,,,*
/σσσσσ/,,*ExtLapseR,AlignL,*LapseL,*ExtLapse,*Lapse,*ExtLapseL,*LapseR,AlignR,*Nonfinality
σσσσσ,,*,,*,***,****,*,*,,
Σσσσσ,,*,,,**,***,,*,*,
σΣσσσ,,*,*,,*,**,,*,*,
σσΣσσ,1,,*,*,,**,,*,*,
σσσΣσ,,,*,*,*,**,*,,*,
σσσσΣ,,,*,*,**,***,*,,,*
/σσσσσσ/,,*ExtLapseR,AlignL,*LapseL,*ExtLapse,*Lapse,*ExtLapseL,*LapseR,AlignR,*Nonfinality
σσσσσσ,,*,,*,****,*****,*,*,,
Σσσσσσ,,*,,,***,****,,*,*,
σΣσσσσ,,*,*,,**,***,,*,*,
σσΣσσσ,,*,*,*,*,***,,*,*,
σσσΣσσ,1,,*,*,*,***,*,*,*,
σσσσΣσ,,,*,*,**,***,*,,*,
σσσσσΣ,,,*,*,***,****,*,,,*
/σσσσσσσ/,,*ExtLapseR,AlignL,*LapseL,*ExtLapse,*Lapse,*ExtLapseL,*LapseR,AlignR,*Nonfinality
σσσσσσσ,,*,,*,*****,******,*,*,,
Σσσσσσσ,,*,,,****,*****,,*,*,
σΣσσσσσ,,*,*,,***,****,,*,*,
σσΣσσσσ,,*,*,*,**,****,,*,*,
σσσΣσσσ,,*,*,*,**,****,*,*,*,
σσσσΣσσ,1,,*,*,**,****,*,*,*,
σσσσσΣσ,,,*,*,***,****,*,,*,
σσσσσσΣ,,,*,*,****,*****,*,,,*
